Comments,sentiment
Y love you vin!,0.625
Pretty awesome,0.625
#HappybirthdayVin i love you mu,0.5
"HAPPY BIRTHDAY @vindiesel love you so much, hope someday can see you",0.5
great actors,0.8
it will  be a dream come true to see you in personal . I hope you'll have a taping of furious 8 here in philippines .,0.175
Fast& Furious:in searching Batman 😂😂😂,0.2
who the old guy <33,0.1
Y love you vin!,0.625
Pretty awesome,0.625
#HappybirthdayVin i love you mu,0.5
"HAPPY BIRTHDAY @vindiesel love you so much, hope someday can see you",0.5
great actors,0.8
it will  be a dream come true to see you in personal . I hope you'll have a taping of furious 8 here in philippines .,0.175
@vindiesel thank you for all the love you have shown the world!  Love what you do !!! Have a blessed day big guy ! ✌👍💪🌺🌺🌺🌺🌺❤😛😜,0.5338541666666666
Love Vin,0.5
This is awesome @omfgitskattxo,1.0
Sexiest man alive!,0.125
Love,0.5
@vindiesel thank you for all the love you have shown the world!  Love what you do !!! Have a blessed day big guy ! ✌👍💪🌺🌺🌺🌺🌺❤😛😜,0.5338541666666666
Love Vin,0.5
This is awesome @omfgitskattxo,1.0
Sexiest man alive!,0.125
Love,0.5
@vindiesel thank you for all the love you have shown the world!  Love what you do !!! Have a blessed day big guy ! ✌👍💪🌺🌺🌺🌺🌺❤😛😜,0.5338541666666666
Love Vin,0.5
This is awesome @omfgitskattxo,1.0
Sexiest man alive!,0.125
Love,0.5
Gifted man from New York,0.3181818181818182
Always remember Mark that God's power is better than luck😊,0.5
I love you mine life @vindiesel,0.5
who is the girl in the back right corner?,0.14285714285714285
Gifted man from New York,0.3181818181818182
Always remember Mark that God's power is better than luck😊,0.5
I love you mine life @vindiesel,0.5
who is the girl in the back right corner?,0.14285714285714285
Gifted man from New York,0.3181818181818182
Always remember Mark that God's power is better than luck😊,0.5
I love you mine life @vindiesel,0.5
who is the girl in the back right corner?,0.14285714285714285
Family first,0.25
Amor seu é  hangouts  gmail  por que problemas  meu medo mandar  cartão Vapor medo perder com você  denovo tá comigo seu verdadeiro Love you too Muito com você amor Saudades ❤️❤️❤️❤️❤️❤️❤️❤️,0.5
Paul really wants to c u💕💯💯,0.2
Xxx is the most a amazing movie u have ever done hun,0.55
Family first,0.25
Amor seu é  hangouts  gmail  por que problemas  meu medo mandar  cartão Vapor medo perder com você  denovo tá comigo seu verdadeiro Love you too Muito com você amor Saudades ❤️❤️❤️❤️❤️❤️❤️❤️,0.5
Paul really wants to c u💕💯💯,0.2
Xxx is the most a amazing movie u have ever done hun,0.55
Family first,0.25
Amor seu é  hangouts  gmail  por que problemas  meu medo mandar  cartão Vapor medo perder com você  denovo tá comigo seu verdadeiro Love you too Muito com você amor Saudades ❤️❤️❤️❤️❤️❤️❤️❤️,0.5
Paul really wants to c u💕💯💯,0.2
Xxx is the most a amazing movie u have ever done hun,0.55
@vindiesel I understand as FF7 was heartbreaking as you lost your amigo and hermano. FF8 found you at odds with some you thought were amigos and really trying to run the franchise they were invited into and have over stayed their welcome.  Enjoy the last 2 installments and the Toretto Family (Gotta have that one!!) I can see the kids joining in!! You can can have the All girls edition... LOVE the FF franchise. You have made this family for everyone that adores it,0.38
"Pay Attention..Important Massage...Work from Home Using your Smartphone...Now utilize the time you spend on Insta, whatsapp or Fb & turn it into an Income source..Now get paid for Everything you do on internet..No matter in which country do you live We provide employment Digitally All around the world.Call or whatsapp on 91-7014560046 for more details",0.21212121212121213
Hello all vin fans... To keep in touch your favorite action hero follow this acc.... Thank you,0.3
2 fast 2 furious was how long I was around,0.07500000000000001
"Follow me please, brother 😍😂😂 ,i'm from Indonesia, i'am really really like you and fans you 😍@vindiesel",0.2
Fast and furous 5😁😁😁,0.2
@vindiesel I understand as FF7 was heartbreaking as you lost your amigo and hermano. FF8 found you at odds with some you thought were amigos and really trying to run the franchise they were invited into and have over stayed their welcome.  Enjoy the last 2 installments and the Toretto Family (Gotta have that one!!) I can see the kids joining in!! You can can have the All girls edition... LOVE the FF franchise. You have made this family for everyone that adores it,0.38
"Pay Attention..Important Massage...Work from Home Using your Smartphone...Now utilize the time you spend on Insta, whatsapp or Fb & turn it into an Income source..Now get paid for Everything you do on internet..No matter in which country do you live We provide employment Digitally All around the world.Call or whatsapp on 91-7014560046 for more details",0.21212121212121213
Hello all vin fans... To keep in touch your favorite action hero follow this acc.... Thank you,0.3
2 fast 2 furious was how long I was around,0.07500000000000001
"Follow me please, brother 😍😂😂 ,i'm from Indonesia, i'am really really like you and fans you 😍@vindiesel",0.2
Fast and furous 5😁😁😁,0.2
@vindiesel I understand as FF7 was heartbreaking as you lost your amigo and hermano. FF8 found you at odds with some you thought were amigos and really trying to run the franchise they were invited into and have over stayed their welcome.  Enjoy the last 2 installments and the Toretto Family (Gotta have that one!!) I can see the kids joining in!! You can can have the All girls edition... LOVE the FF franchise. You have made this family for everyone that adores it,0.38
"Pay Attention..Important Massage...Work from Home Using your Smartphone...Now utilize the time you spend on Insta, whatsapp or Fb & turn it into an Income source..Now get paid for Everything you do on internet..No matter in which country do you live We provide employment Digitally All around the world.Call or whatsapp on 91-7014560046 for more details",0.21212121212121213
Hello all vin fans... To keep in touch your favorite action hero follow this acc.... Thank you,0.3
2 fast 2 furious was how long I was around,0.07500000000000001
"Follow me please, brother 😍😂😂 ,i'm from Indonesia, i'am really really like you and fans you 😍@vindiesel",0.2
Fast and furous 5😁😁😁,0.2
"Your a wonderful father vin ,and YOU HAVE beautiful children 😁😊💜💜💜awesome dad u are , all love 😊💜",0.7833333333333333
Lots of love 😇,0.5
"Your a wonderful father vin ,and YOU HAVE beautiful children 😁😊💜💜💜awesome dad u are , all love 😊💜",0.7833333333333333
Lots of love 😇,0.5
"Your a wonderful father vin ,and YOU HAVE beautiful children 😁😊💜💜💜awesome dad u are , all love 😊💜",0.7833333333333333
Lots of love 😇,0.5
I’m so happy you love your sister and I love my sister too.,0.6
Vindiesel.Nice Love ❤ and your friend  kiss 💋 💋👌👌👌👌☕☕ good morning have.dear friends sweet 🍬 sorry,0.26249999999999996
Wow,0.1
I’m so happy you love your sister and I love my sister too.,0.6
Vindiesel.Nice Love ❤ and your friend  kiss 💋 💋👌👌👌👌☕☕ good morning have.dear friends sweet 🍬 sorry,0.26249999999999996
Wow,0.1
I’m so happy you love your sister and I love my sister too.,0.6
Vindiesel.Nice Love ❤ and your friend  kiss 💋 💋👌👌👌👌☕☕ good morning have.dear friends sweet 🍬 sorry,0.26249999999999996
Wow,0.1
Please more Riddick films!!!!! More more more!!!!,0.75
Riddick trop excellent film bisous très bon week-end ❤😚❤,1.0
I love you 😊😙❤👄,0.5
Love that movie,0.5
Please more Riddick films!!!!! More more more!!!!,0.75
Riddick trop excellent film bisous très bon week-end ❤😚❤,1.0
I love you 😊😙❤👄,0.5
Love that movie,0.5
Please more Riddick films!!!!! More more more!!!!,0.75
Riddick trop excellent film bisous très bon week-end ❤😚❤,1.0
I love you 😊😙❤👄,0.5
Love that movie,0.5
I'M LOVE YOU,0.5
Love youuu,0.5
Good,0.7
I'M LOVE YOU,0.5
Love youuu,0.5
Good,0.7
I'M LOVE YOU,0.5
Love youuu,0.5
Good,0.7
I love YOU ❤@vindiesel,0.5
I love YOU ❤@vindiesel,0.5
I love YOU ❤@vindiesel,0.5
"hello vin diesel i'm a big fan here in brazil, will you be able to tell me or give me a clue if there will be paul walker in the fast and furious 9? I don't know if you will read this message anymore I hope you read kkkkk",0.2333333333333333
"hello vin diesel i'm a big fan here in brazil, will you be able to tell me or give me a clue if there will be paul walker in the fast and furious 9? I don't know if you will read this message anymore I hope you read kkkkk",0.2333333333333333
"hello vin diesel i'm a big fan here in brazil, will you be able to tell me or give me a clue if there will be paul walker in the fast and furious 9? I don't know if you will read this message anymore I hope you read kkkkk",0.2333333333333333
oh good times,0.7
So sweet,0.35
oh good times,0.7
So sweet,0.35
oh good times,0.7
So sweet,0.35
"Hello brother, greetings! I hope you are well. I am writing to ask you on behalf of all the fans of the Venezuelan soccer team to please record yourself on a video saying this word: “MANO TENGO FE” since this word began to be used with a photo of you. La Vinotinto, as the Venezuelan team is known, has been obtaining good results. I hope you can fulfill that request and sorry for the inconvenience brother. @vindiesel",0.09999999999999998
I need you my inspiration always Blessed and grateful..so thank you so much..i hope you always Happy and Blessed❤️,0.8
You are loved ❤️,0.7
"Hello brother, greetings! I hope you are well. I am writing to ask you on behalf of all the fans of the Venezuelan soccer team to please record yourself on a video saying this word: “MANO TENGO FE” since this word began to be used with a photo of you. La Vinotinto, as the Venezuelan team is known, has been obtaining good results. I hope you can fulfill that request and sorry for the inconvenience brother. @vindiesel",0.09999999999999998
I need you my inspiration always Blessed and grateful..so thank you so much..i hope you always Happy and Blessed❤️,0.8
You are loved ❤️,0.7
"Hello brother, greetings! I hope you are well. I am writing to ask you on behalf of all the fans of the Venezuelan soccer team to please record yourself on a video saying this word: “MANO TENGO FE” since this word began to be used with a photo of you. La Vinotinto, as the Venezuelan team is known, has been obtaining good results. I hope you can fulfill that request and sorry for the inconvenience brother. @vindiesel",0.09999999999999998
I need you my inspiration always Blessed and grateful..so thank you so much..i hope you always Happy and Blessed❤️,0.8
You are loved ❤️,0.7
There is my God answer me please I for you I am capable of giving life,0.2
There is my God answer me please I for you I am capable of giving life,0.2
There is my God answer me please I for you I am capable of giving life,0.2
All love for you too my dear Vin Diesel ♥️♥️♥️♥️♥️♥️♥️♥️♥️,0.5
Love,0.5
A favorite,0.5
A favorite,0.5
Love you❤️,0.5
All love to you to 😘😘😘@vindiesel,0.5
I have too much love for the World ✌,0.5
All love for you too my dear Vin Diesel ♥️♥️♥️♥️♥️♥️♥️♥️♥️,0.5
Love,0.5
A favorite,0.5
A favorite,0.5
Love you❤️,0.5
All love to you to 😘😘😘@vindiesel,0.5
I have too much love for the World ✌,0.5
All love for you too my dear Vin Diesel ♥️♥️♥️♥️♥️♥️♥️♥️♥️,0.5
Love,0.5
A favorite,0.5
A favorite,0.5
Love you❤️,0.5
All love to you to 😘😘😘@vindiesel,0.5
I have too much love for the World ✌,0.5
"Around the same time I saw a bicycle just like that one down the street from my grandfather house. I knew something was following me around that time. What is the point to this coin tell pro, gangstalking, gaslighting that is happening to me. Have it stop. I want money for the hardship that has been done to me, don't you think thats fair?",0.1361111111111111
I like the ride and I no the movie is going to be interesting,0.5
Voll Sexy,0.5
Lol vin whatcha riding there,0.8
"Around the same time I saw a bicycle just like that one down the street from my grandfather house. I knew something was following me around that time. What is the point to this coin tell pro, gangstalking, gaslighting that is happening to me. Have it stop. I want money for the hardship that has been done to me, don't you think thats fair?",0.1361111111111111
I like the ride and I no the movie is going to be interesting,0.5
Voll Sexy,0.5
Lol vin whatcha riding there,0.8
"Around the same time I saw a bicycle just like that one down the street from my grandfather house. I knew something was following me around that time. What is the point to this coin tell pro, gangstalking, gaslighting that is happening to me. Have it stop. I want money for the hardship that has been done to me, don't you think thats fair?",0.1361111111111111
I like the ride and I no the movie is going to be interesting,0.5
Voll Sexy,0.5
Lol vin whatcha riding there,0.8
Perfect personality,1.0
Perfect personality,1.0
Perfect personality,1.0
Oh my beautiful wonderful couples..😍😍,0.925
Wish you two were married. 😍😍 much love,0.375
Oh my beautiful wonderful couples..😍😍,0.925
Wish you two were married. 😍😍 much love,0.375
Oh my beautiful wonderful couples..😍😍,0.925
Wish you two were married. 😍😍 much love,0.375
Amazing,0.6000000000000001
Amazing,0.6000000000000001
Amazing,0.6000000000000001
That is cool fan art  miss you Paul,0.35
Yes is so beautiful amazing 🤩 😍😍❤️❤️❤️❤️❤️❤️❤️❤️,0.7250000000000001
That is cool fan art  miss you Paul,0.35
Yes is so beautiful amazing 🤩 😍😍❤️❤️❤️❤️❤️❤️❤️❤️,0.7250000000000001
That is cool fan art  miss you Paul,0.35
Yes is so beautiful amazing 🤩 😍😍❤️❤️❤️❤️❤️❤️❤️❤️,0.7250000000000001
"No way, wow 45' in the air? Amazing! How do you do that?",0.42500000000000004
i love you,0.5
@artyachoo lol  he is sooo cute😂ouch!,1.0
"No way, wow 45' in the air? Amazing! How do you do that?",0.42500000000000004
i love you,0.5
@artyachoo lol  he is sooo cute😂ouch!,1.0
"No way, wow 45' in the air? Amazing! How do you do that?",0.42500000000000004
i love you,0.5
@artyachoo lol  he is sooo cute😂ouch!,1.0
You are awesome,1.0
#vindiesel  cat i love you,0.5
You are awesome,1.0
#vindiesel  cat i love you,0.5
You are awesome,1.0
#vindiesel  cat i love you,0.5
We love you,0.5
We love you,0.5
We love you,0.5
"Is there any chance straight from heaven that we can have you both at the same time , last time",0.06666666666666667
"Is there any chance straight from heaven that we can have you both at the same time , last time",0.06666666666666667
"Is there any chance straight from heaven that we can have you both at the same time , last time",0.06666666666666667
Cabello Natural @vppg_20,0.1
nice butt,0.6
Cabello Natural @vppg_20,0.1
nice butt,0.6
Cabello Natural @vppg_20,0.1
nice butt,0.6
Is this Roman? My corso name is shadow. Beautiful dogs ❤️,0.85
Top,0.5
I don't think so @wildpipm.blakes. .. He Looks more than a corso,0.5
Is this Roman? My corso name is shadow. Beautiful dogs ❤️,0.85
Top,0.5
I don't think so @wildpipm.blakes. .. He Looks more than a corso,0.5
Is this Roman? My corso name is shadow. Beautiful dogs ❤️,0.85
Top,0.5
I don't think so @wildpipm.blakes. .. He Looks more than a corso,0.5
Lovely sunset,0.5
Thanks for all you do to help promote beautiful clean beaches and healthy oceans and waterways. Enjoy your journey! @WavesNotPlastic .org,0.4833333333333334
"I LOVE YOU SO MUCH VIN, EVERYDAY I PLACE YOU IN MY PRAYERS, I HOPE THAT IN THE OTHER LIFE, I COME AS YOUR WIFE (HAHA), YOU DO NOT NEED TO HAVE MONEY AND NO FAME, YOU WITH THAT SIMPLE WILL CONQUER ALL. YOU HAVE A PLACE ONLY IN MY HEART, I LOVE YOU 🇧🇷❤@vindiesel",0.134375
Your light makes the sun's rays envy you.,0.4
and I love you,0.5
Perfect!,1.0
"new song ""KYA PYAR HAI TUJHE""  i msgd u nw ..........plz check my DM @shanayakapoor19 #New#sOng#  plz REAd it plz check my DM",0.13636363636363635
Lovely sunset,0.5
Thanks for all you do to help promote beautiful clean beaches and healthy oceans and waterways. Enjoy your journey! @WavesNotPlastic .org,0.4833333333333334
"I LOVE YOU SO MUCH VIN, EVERYDAY I PLACE YOU IN MY PRAYERS, I HOPE THAT IN THE OTHER LIFE, I COME AS YOUR WIFE (HAHA), YOU DO NOT NEED TO HAVE MONEY AND NO FAME, YOU WITH THAT SIMPLE WILL CONQUER ALL. YOU HAVE A PLACE ONLY IN MY HEART, I LOVE YOU 🇧🇷❤@vindiesel",0.134375
Your light makes the sun's rays envy you.,0.4
and I love you,0.5
Perfect!,1.0
"new song ""KYA PYAR HAI TUJHE""  i msgd u nw ..........plz check my DM @shanayakapoor19 #New#sOng#  plz REAd it plz check my DM",0.13636363636363635
Lovely sunset,0.5
Thanks for all you do to help promote beautiful clean beaches and healthy oceans and waterways. Enjoy your journey! @WavesNotPlastic .org,0.4833333333333334
"I LOVE YOU SO MUCH VIN, EVERYDAY I PLACE YOU IN MY PRAYERS, I HOPE THAT IN THE OTHER LIFE, I COME AS YOUR WIFE (HAHA), YOU DO NOT NEED TO HAVE MONEY AND NO FAME, YOU WITH THAT SIMPLE WILL CONQUER ALL. YOU HAVE A PLACE ONLY IN MY HEART, I LOVE YOU 🇧🇷❤@vindiesel",0.134375
Your light makes the sun's rays envy you.,0.4
and I love you,0.5
Perfect!,1.0
"new song ""KYA PYAR HAI TUJHE""  i msgd u nw ..........plz check my DM @shanayakapoor19 #New#sOng#  plz REAd it plz check my DM",0.13636363636363635
Your family must really love you.,0.5
Your smile is so cute U loved,0.5
Priceless 👌,1.0
Love you so much Vin ❤️❤️❤️❤️❤️❤️❤️,0.35
Very nice video..charming voice u have,0.78
Il sorriso più sexy e bello ke ci sia love:-*,0.5
Sexy,0.5
Your family must really love you.,0.5
Your smile is so cute U loved,0.5
Priceless 👌,1.0
Love you so much Vin ❤️❤️❤️❤️❤️❤️❤️,0.35
Very nice video..charming voice u have,0.78
Il sorriso più sexy e bello ke ci sia love:-*,0.5
Sexy,0.5
Your family must really love you.,0.5
Your smile is so cute U loved,0.5
Priceless 👌,1.0
Love you so much Vin ❤️❤️❤️❤️❤️❤️❤️,0.35
Very nice video..charming voice u have,0.78
Il sorriso più sexy e bello ke ci sia love:-*,0.5
Sexy,0.5
Lots of love xxxxxxxx,0.5
Look how young you all look,0.1
Lol ja rule,0.8
Awww y'all look youngin,0.4
Lots of love xxxxxxxx,0.5
Look how young you all look,0.1
Lol ja rule,0.8
Awww y'all look youngin,0.4
Lots of love xxxxxxxx,0.5
Look how young you all look,0.1
Lol ja rule,0.8
Awww y'all look youngin,0.4
I love & respect,0.5
All Love & Respect....💕💕💕💕(ELLA),0.5
I heard this before somewhere..still nice to hear it I must say..,0.6
"Gato,, sua voz é tão sexy!",0.625
I love & respect,0.5
All Love & Respect....💕💕💕💕(ELLA),0.5
I heard this before somewhere..still nice to hear it I must say..,0.6
"Gato,, sua voz é tão sexy!",0.625
I love & respect,0.5
All Love & Respect....💕💕💕💕(ELLA),0.5
I heard this before somewhere..still nice to hear it I must say..,0.6
"Gato,, sua voz é tão sexy!",0.625
Beautiful fast8  big fan,0.425
I love this movie....All movies are excellet 😍😍😍😍,0.5
All love! 💙,0.625
Fast and furious is the best movie saga ever ! 🎬💙🏎,0.6
Can't wait to see the last two films. The young lady is right in all the ways you asked her the questions.,0.12857142857142856
She's right,0.2857142857142857
Beautiful fast8  big fan,0.425
I love this movie....All movies are excellet 😍😍😍😍,0.5
All love! 💙,0.625
Fast and furious is the best movie saga ever ! 🎬💙🏎,0.6
Can't wait to see the last two films. The young lady is right in all the ways you asked her the questions.,0.12857142857142856
She's right,0.2857142857142857
Beautiful fast8  big fan,0.425
I love this movie....All movies are excellet 😍😍😍😍,0.5
All love! 💙,0.625
Fast and furious is the best movie saga ever ! 🎬💙🏎,0.6
Can't wait to see the last two films. The young lady is right in all the ways you asked her the questions.,0.12857142857142856
She's right,0.2857142857142857
You two guys I could imagine making something up with something from fast and the furious and iron man,0.2
U r the main team sir in this world,0.16666666666666666
I love you my love you are in my heart,0.5
You two guys I could imagine making something up with something from fast and the furious and iron man,0.2
U r the main team sir in this world,0.16666666666666666
I love you my love you are in my heart,0.5
You two guys I could imagine making something up with something from fast and the furious and iron man,0.2
U r the main team sir in this world,0.16666666666666666
I love you my love you are in my heart,0.5
Love you so much xxxxxx,0.35
I like ur smile ☺❤ @vindiesel,0.3
@rocco_paparock_217 yep is true his wife is from acapulco mexico investigate,0.35
Love you so much xxxxxx,0.35
I like ur smile ☺❤ @vindiesel,0.3
@rocco_paparock_217 yep is true his wife is from acapulco mexico investigate,0.35
Love you so much xxxxxx,0.35
I like ur smile ☺❤ @vindiesel,0.3
@rocco_paparock_217 yep is true his wife is from acapulco mexico investigate,0.35
Thanks,0.2
Haha look better with stuff with car !! Lol,0.59375
@amirreza_sh2 =)))))),0.5
@farhad_ab yarege ooskol fk karde kie?hamo ghofl farmone more bd😐😂😂,0.5
Thanks,0.2
Haha look better with stuff with car !! Lol,0.59375
@amirreza_sh2 =)))))),0.5
@farhad_ab yarege ooskol fk karde kie?hamo ghofl farmone more bd😐😂😂,0.5
Thanks,0.2
Haha look better with stuff with car !! Lol,0.59375
@amirreza_sh2 =)))))),0.5
@farhad_ab yarege ooskol fk karde kie?hamo ghofl farmone more bd😐😂😂,0.5
You are the best blesdings forever ❤💋🙏,1.0
"We would love to record a track with you Vin, hit us up if you wanna make some rock & roll!",0.625
cool u boss,0.35
You are the best blesdings forever ❤💋🙏,1.0
"We would love to record a track with you Vin, hit us up if you wanna make some rock & roll!",0.625
cool u boss,0.35
You are the best blesdings forever ❤💋🙏,1.0
"We would love to record a track with you Vin, hit us up if you wanna make some rock & roll!",0.625
cool u boss,0.35
😍😍😍you are so much very pretty mark sinclair vincent I love the the way how your are and I'm very proud of you how your are and I love you forever with all my heart and soul😍😍😍😍😍❤️❤️❤️❤️❤️😘😘😘😘😘,0.58125
I love this workout,0.5
nice power Vin :),0.55
Cool boy,0.35
😍😍😍you are so much very pretty mark sinclair vincent I love the the way how your are and I'm very proud of you how your are and I love you forever with all my heart and soul😍😍😍😍😍❤️❤️❤️❤️❤️😘😘😘😘😘,0.58125
I love this workout,0.5
nice power Vin :),0.55
Cool boy,0.35
😍😍😍you are so much very pretty mark sinclair vincent I love the the way how your are and I'm very proud of you how your are and I love you forever with all my heart and soul😍😍😍😍😍❤️❤️❤️❤️❤️😘😘😘😘😘,0.58125
I love this workout,0.5
nice power Vin :),0.55
Cool boy,0.35
:-),0.5
I like you so much 😭💕,0.2
Ludacris and Vindiesel this combo is perfect this family to and Paul is present,0.5
Vai vin disel  io love Fast&furios,0.5
I had a dream. Love you,0.5
:-),0.5
I like you so much 😭💕,0.2
Ludacris and Vindiesel this combo is perfect this family to and Paul is present,0.5
Vai vin disel  io love Fast&furios,0.5
I had a dream. Love you,0.5
:-),0.5
I like you so much 😭💕,0.2
Ludacris and Vindiesel this combo is perfect this family to and Paul is present,0.5
Vai vin disel  io love Fast&furios,0.5
I had a dream. Love you,0.5
I love Dom💪💪❤️,0.5
I love you Dominic Toretto 😍😘😘😘,0.5
Dom from dominican Republic you should have been born there :),0.5
i love you dommmm,0.5
I would love to meet you.  I live a few hours away from the area where you have your cottage on the lake.,0.14545454545454545
I love Dom💪💪❤️,0.5
I love you Dominic Toretto 😍😘😘😘,0.5
Dom from dominican Republic you should have been born there :),0.5
i love you dommmm,0.5
I would love to meet you.  I live a few hours away from the area where you have your cottage on the lake.,0.14545454545454545
I love Dom💪💪❤️,0.5
I love you Dominic Toretto 😍😘😘😘,0.5
Dom from dominican Republic you should have been born there :),0.5
i love you dommmm,0.5
I would love to meet you.  I live a few hours away from the area where you have your cottage on the lake.,0.14545454545454545
i love you so mach dom❤️❤️❤️❤️,0.5
i love you so mach dom❤️❤️❤️❤️,0.5
i love you so mach dom❤️❤️❤️❤️,0.5
Can't get better than this,0.5
Great this is your kind of music It's a wonderful tribute to a fabulous singer,0.7
Great song for you Dad. 😍,0.8
Happy Birthday Dad awesome sweetheart your amazing much love,0.7250000000000001
"Vin, you made me tear up.  You are so so special.  Your dad is Married.  I'. single 80 year old who looks 60. (don't laugh). I want to hug you and you hug me.  That would make me so happy!!Luv your sexy voice too.  So nice.  I heard it 10 times.",0.29081632653061223
You have a beautiful voice dear keep on singing,0.85
Who’s Ruby rose,0.6
SUCH A LOVELY SONG 🎵 AND GREAT VOICE.👏👏👏❤❤❤👍,0.43333333333333335
Can't get better than this,0.5
Great this is your kind of music It's a wonderful tribute to a fabulous singer,0.7
Great song for you Dad. 😍,0.8
Happy Birthday Dad awesome sweetheart your amazing much love,0.7250000000000001
"Vin, you made me tear up.  You are so so special.  Your dad is Married.  I'. single 80 year old who looks 60. (don't laugh). I want to hug you and you hug me.  That would make me so happy!!Luv your sexy voice too.  So nice.  I heard it 10 times.",0.29081632653061223
You have a beautiful voice dear keep on singing,0.85
Who’s Ruby rose,0.6
SUCH A LOVELY SONG 🎵 AND GREAT VOICE.👏👏👏❤❤❤👍,0.43333333333333335
Can't get better than this,0.5
Great this is your kind of music It's a wonderful tribute to a fabulous singer,0.7
Great song for you Dad. 😍,0.8
Happy Birthday Dad awesome sweetheart your amazing much love,0.7250000000000001
"Vin, you made me tear up.  You are so so special.  Your dad is Married.  I'. single 80 year old who looks 60. (don't laugh). I want to hug you and you hug me.  That would make me so happy!!Luv your sexy voice too.  So nice.  I heard it 10 times.",0.29081632653061223
You have a beautiful voice dear keep on singing,0.85
Who’s Ruby rose,0.6
SUCH A LOVELY SONG 🎵 AND GREAT VOICE.👏👏👏❤❤❤👍,0.43333333333333335
Nice likes your kayak and music ♥️,0.6
Lol 😅,0.8
Nice likes your kayak and music ♥️,0.6
Lol 😅,0.8
Nice likes your kayak and music ♥️,0.6
Lol 😅,0.8
Brasil. Y love,0.5
Really that is your brother??,0.2
Nice om,0.6
No rio na favela:),0.5
Brasil. Y love,0.5
Really that is your brother??,0.2
Nice om,0.6
No rio na favela:),0.5
Brasil. Y love,0.5
Really that is your brother??,0.2
Nice om,0.6
No rio na favela:),0.5
Vin I am your fan And I love you as Dominic Toretto in fast And furious all of them,0.35
Nice to meet you guardians of the galaxy...,0.6
wow,0.1
My god Guardians 3 and Fast X in the same month Being Vin Diesel must be awesome,0.39999999999999997
Vin I am your fan And I love you as Dominic Toretto in fast And furious all of them,0.35
Nice to meet you guardians of the galaxy...,0.6
wow,0.1
My god Guardians 3 and Fast X in the same month Being Vin Diesel must be awesome,0.39999999999999997
Vin I am your fan And I love you as Dominic Toretto in fast And furious all of them,0.35
Nice to meet you guardians of the galaxy...,0.6
wow,0.1
My god Guardians 3 and Fast X in the same month Being Vin Diesel must be awesome,0.39999999999999997
"This look is beautiful when you look at the camera, I love it 👍💋❤️‍🔥❤️‍🔥❤️‍🔥",0.675
Sexy,0.5
Do you do your own stunts,0.6
love you Dom Brasil success my love 💞💞💞💞,0.43333333333333335
"This look is beautiful when you look at the camera, I love it 👍💋❤️‍🔥❤️‍🔥❤️‍🔥",0.675
Sexy,0.5
Do you do your own stunts,0.6
love you Dom Brasil success my love 💞💞💞💞,0.43333333333333335
"This look is beautiful when you look at the camera, I love it 👍💋❤️‍🔥❤️‍🔥❤️‍🔥",0.675
