Comments,sentiment
She is a cocky and arrogant woman w very poor sportsmanship! Poor role model!! 👎🏻 Confident people let their craft do all the talking. And grown women don't call other women bitches. Grow up Ronda!  @vindiesel,-0.22625
Crazy,-0.6
Crazy,-0.6
Crazy,-0.6
"@kcoreasoto Billy Lynn's Long Halftime Walk, plus you probably see that Vin Diesel is gonna be in there",-0.05
extremely looking forward to it👍🏻,-0.125
"@kcoreasoto Billy Lynn's Long Halftime Walk, plus you probably see that Vin Diesel is gonna be in there",-0.05
extremely looking forward to it👍🏻,-0.125
"@kcoreasoto Billy Lynn's Long Halftime Walk, plus you probably see that Vin Diesel is gonna be in there",-0.05
extremely looking forward to it👍🏻,-0.125
Little lion and lioness make do things we never thought possible,-0.09375
Little lion and lioness make do things we never thought possible,-0.09375
Little lion and lioness make do things we never thought possible,-0.09375
Bro casually posting on an island 😂👌💪🏻@vindiesel,-0.5000000000000001
Bro casually posting on an island 😂👌💪🏻@vindiesel,-0.5000000000000001
Bro casually posting on an island 😂👌💪🏻@vindiesel,-0.5000000000000001
Live for nothing dead for something,-0.03181818181818183
Live for nothing dead for something,-0.03181818181818183
Live for nothing dead for something,-0.03181818181818183
God bless u bro my King is Uncle Bekki long life,-0.05
God bless u bro my King is Uncle Bekki long life,-0.05
God bless u bro my King is Uncle Bekki long life,-0.05
They don't stay babies for long😢. Soon you'll be standing at your front door with a shotgun cos some punk turns up wanting to take her on 'a date' or you have 'a little talk' with him before prom.😂,-0.1875
They don't stay babies for long😢. Soon you'll be standing at your front door with a shotgun cos some punk turns up wanting to take her on 'a date' or you have 'a little talk' with him before prom.😂,-0.1875
They don't stay babies for long😢. Soon you'll be standing at your front door with a shotgun cos some punk turns up wanting to take her on 'a date' or you have 'a little talk' with him before prom.😂,-0.1875
Stop with racing people in their lives it's gangstalking and illegal in Cali. Needs to be made illegal in the rest of the country,-0.5
Stop with racing people in their lives it's gangstalking and illegal in Cali. Needs to be made illegal in the rest of the country,-0.5
Stop with racing people in their lives it's gangstalking and illegal in Cali. Needs to be made illegal in the rest of the country,-0.5
The game app app play is fun but it doesn’t even load and game play play game play for free free play play game game app great game app app for free app play play game,-0.041666666666666664
The game app app play is fun but it doesn’t even load and game play play game play for free free play play game game app great game app app for free app play play game,-0.041666666666666664
The game app app play is fun but it doesn’t even load and game play play game play for free free play play game game app great game app app for free app play play game,-0.041666666666666664
O my goodness I just can not hold myself back to say. You have the most Sexiest Mouth I have ever seen. Damnit Man this close up just did it in for me. Now I must go take a cold shower.... 🔥,-0.033333333333333326
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
O my goodness I just can not hold myself back to say. You have the most Sexiest Mouth I have ever seen. Damnit Man this close up just did it in for me. Now I must go take a cold shower.... 🔥,-0.033333333333333326
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
O my goodness I just can not hold myself back to say. You have the most Sexiest Mouth I have ever seen. Damnit Man this close up just did it in for me. Now I must go take a cold shower.... 🔥,-0.033333333333333326
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
"@vindiesel Through days and sleepless nights because I thought plight because I feel exhausted, tired children also suffering very much. We vow to tell the truth. 🙏🙏🙏 @vindiesel",-0.18000000000000002
wait there guys I’m confused i miss Paul but if he died in 2013 how did they film it in 2017,-0.4
wait there guys I’m confused i miss Paul but if he died in 2013 how did they film it in 2017,-0.4
wait there guys I’m confused i miss Paul but if he died in 2013 how did they film it in 2017,-0.4
Have you even paint prepped and painted a corvette stingray? I have actually president Biden is in the same green onerhat I worked on. Matter of fact Chester's chicken is also he penguin.  I have educates myself on the way of the abuse. One day he abuse will stop.,-0.2
Have you even paint prepped and painted a corvette stingray? I have actually president Biden is in the same green onerhat I worked on. Matter of fact Chester's chicken is also he penguin.  I have educates myself on the way of the abuse. One day he abuse will stop.,-0.2
Have you even paint prepped and painted a corvette stingray? I have actually president Biden is in the same green onerhat I worked on. Matter of fact Chester's chicken is also he penguin.  I have educates myself on the way of the abuse. One day he abuse will stop.,-0.2
Other Celebrities sites too!😮,-0.125
"This post is from May 22nd , 2022! Something is wrong with my phone! It’s being to hacked by my Scammer sites! Yea",-0.78125
Who would want to be with someone with a SUPER BAD TEMPER ⁉️‼️,-0.18333333333333326
"Same here, it started almost four years ago, with him asking me to marry me too! Only Real Vin Diesel is blue Checkmark Instagram site!  Not on WhatsApp, Hangouts,, other “ fake Vin Diesel Private, and Mark Sinclair!",-0.060714285714285714
Other Celebrities sites too!😮,-0.125
"This post is from May 22nd , 2022! Something is wrong with my phone! It’s being to hacked by my Scammer sites! Yea",-0.78125
Who would want to be with someone with a SUPER BAD TEMPER ⁉️‼️,-0.18333333333333326
"Same here, it started almost four years ago, with him asking me to marry me too! Only Real Vin Diesel is blue Checkmark Instagram site!  Not on WhatsApp, Hangouts,, other “ fake Vin Diesel Private, and Mark Sinclair!",-0.060714285714285714
Other Celebrities sites too!😮,-0.125
"This post is from May 22nd , 2022! Something is wrong with my phone! It’s being to hacked by my Scammer sites! Yea",-0.78125
Who would want to be with someone with a SUPER BAD TEMPER ⁉️‼️,-0.18333333333333326
"Same here, it started almost four years ago, with him asking me to marry me too! Only Real Vin Diesel is blue Checkmark Instagram site!  Not on WhatsApp, Hangouts,, other “ fake Vin Diesel Private, and Mark Sinclair!",-0.060714285714285714
You are really bad  @therock is better,-0.09999999999999992
You are really bad  @therock is better,-0.09999999999999992
You are really bad  @therock is better,-0.09999999999999992
You weird as fuck lmaoo,-0.45
You weird as fuck lmaoo,-0.45
You weird as fuck lmaoo,-0.45
Dom you shut it down 💥🏋💯👈💥,-0.15555555555555559
Dom you shut it down 💥🏋💯👈💥,-0.15555555555555559
Dom you shut it down 💥🏋💯👈💥,-0.15555555555555559
l cried a lot no fast and furios 7,-0.1
l cried a lot no fast and furios 7,-0.1
l cried a lot no fast and furios 7,-0.1
that guy so dirty look,-0.6
that guy so dirty look,-0.6
that guy so dirty look,-0.6
Mesmo que não responde no direct eu mando um grande abraço❤️,-0.05
Mesmo que não responde no direct eu mando um grande abraço❤️,-0.05
Mesmo que não responde no direct eu mando um grande abraço❤️,-0.05
Did paul walker died because im confused?,-0.4
Did paul walker died because im confused?,-0.4
Did paul walker died because im confused?,-0.4
watch oht there is a ninja behind you!!!!,-0.9765625
I feel stupid saying this but what is so funny,-0.27499999999999997
watch oht there is a ninja behind you!!!!,-0.9765625
I feel stupid saying this but what is so funny,-0.27499999999999997
watch oht there is a ninja behind you!!!!,-0.9765625
I feel stupid saying this but what is so funny,-0.27499999999999997
"Oh by the way what is premeditated M? Thats what happened, thats how he falls, he doesn't get rewarded for the worst sin on the books, catholic or not its the big sin and you know who's tied together and talking to eachother now, OR and TX. I saved your life. I want my money. No fucking 10 second car. All of my money from what you owe. There is nothing else to discuss.",-0.25
You know who I'm talking about. I actually throw up a little bit....,-0.09375
This needs to stop. You have no clue of the damage this has done to my life. Cut them out of my life please thank you. It has wasted enough of my time and now they have taken lives. This heart breaking. Nothing is worth this. I demand this to stop. Put yourself into my fucking shoes!!!,-0.225
"Oh by the way what is premeditated M? Thats what happened, thats how he falls, he doesn't get rewarded for the worst sin on the books, catholic or not its the big sin and you know who's tied together and talking to eachother now, OR and TX. I saved your life. I want my money. No fucking 10 second car. All of my money from what you owe. There is nothing else to discuss.",-0.25
You know who I'm talking about. I actually throw up a little bit....,-0.09375
This needs to stop. You have no clue of the damage this has done to my life. Cut them out of my life please thank you. It has wasted enough of my time and now they have taken lives. This heart breaking. Nothing is worth this. I demand this to stop. Put yourself into my fucking shoes!!!,-0.225
"Oh by the way what is premeditated M? Thats what happened, thats how he falls, he doesn't get rewarded for the worst sin on the books, catholic or not its the big sin and you know who's tied together and talking to eachother now, OR and TX. I saved your life. I want my money. No fucking 10 second car. All of my money from what you owe. There is nothing else to discuss.",-0.25
You know who I'm talking about. I actually throw up a little bit....,-0.09375
This needs to stop. You have no clue of the damage this has done to my life. Cut them out of my life please thank you. It has wasted enough of my time and now they have taken lives. This heart breaking. Nothing is worth this. I demand this to stop. Put yourself into my fucking shoes!!!,-0.225
Stop working with chinesse producer !.. triple xxx is a crap !.. we didn't see your character while in watching triple xxx !,-1.0
Stop working with chinesse producer !.. triple xxx is a crap !.. we didn't see your character while in watching triple xxx !,-1.0
Stop working with chinesse producer !.. triple xxx is a crap !.. we didn't see your character while in watching triple xxx !,-1.0
"If people say something bad, it’s a reflection on who THEY are.  It has nothing to do with you.  You go girl!  Don’t worry about what they think or say. You be who and what you were meant to be! You do what you were meant to do ! Go out there and conquer the world with love !",-0.1875
"If people say something bad, it’s a reflection on who THEY are.  It has nothing to do with you.  You go girl!  Don’t worry about what they think or say. You be who and what you were meant to be! You do what you were meant to do ! Go out there and conquer the world with love !",-0.1875
"If people say something bad, it’s a reflection on who THEY are.  It has nothing to do with you.  You go girl!  Don’t worry about what they think or say. You be who and what you were meant to be! You do what you were meant to do ! Go out there and conquer the world with love !",-0.1875
"A picture with Groot, Vin, & Hasbulla, strange.",-0.05
"A picture with Groot, Vin, & Hasbulla, strange.",-0.05
"A picture with Groot, Vin, & Hasbulla, strange.",-0.05
A chow down!,-0.19444444444444448
A chow down!,-0.19444444444444448
A chow down!,-0.19444444444444448
Little butt. ;p,-0.1875
Little butt. ;p,-0.1875
Little butt. ;p,-0.1875
CHATS COW CAFIA COES CT,-0.13333333333333333
Sorry if I am liking to many past photos.,-0.08333333333333333
CHATS COW CAFIA COES CT,-0.13333333333333333
Sorry if I am liking to many past photos.,-0.08333333333333333
CHATS COW CAFIA COES CT,-0.13333333333333333
Sorry if I am liking to many past photos.,-0.08333333333333333
Yeah you got that right because I am now 14 years old and I sadly have big feet size 15 trying to put my feet in my shoes very hard,-0.0986904761904762
Yeah you got that right because I am now 14 years old and I sadly have big feet size 15 trying to put my feet in my shoes very hard,-0.0986904761904762
Yeah you got that right because I am now 14 years old and I sadly have big feet size 15 trying to put my feet in my shoes very hard,-0.0986904761904762
"@vindiesel I'm your brazilian fan. I would like to meet you.. Everywhere, everyday. If you want realize my dream, contact me on my email: joaovmaia@gmail.com .. Tmj 👊🏻 (brazilian slang)",-0.2
"@vindiesel I'm your brazilian fan. I would like to meet you.. Everywhere, everyday. If you want realize my dream, contact me on my email: joaovmaia@gmail.com .. Tmj 👊🏻 (brazilian slang)",-0.2
"@vindiesel I'm your brazilian fan. I would like to meet you.. Everywhere, everyday. If you want realize my dream, contact me on my email: joaovmaia@gmail.com .. Tmj 👊🏻 (brazilian slang)",-0.2
I hated this movie too and all of your Fast and Furious movies,-0.35
I hated this movie too and all of your Fast and Furious movies,-0.35
I hated this movie too and all of your Fast and Furious movies,-0.35
You too were amazing coming from different One played a cop The other one played the bad boy I was so sad when he got killed,-0.15416666666666665
You too were amazing coming from different One played a cop The other one played the bad boy I was so sad when he got killed,-0.15416666666666665
You too were amazing coming from different One played a cop The other one played the bad boy I was so sad when he got killed,-0.15416666666666665
I'm so sad that there's no Paul Walker in fast and forius 9,-0.15
I'm so sad that there's no Paul Walker in fast and forius 9,-0.15
I'm so sad that there's no Paul Walker in fast and forius 9,-0.15
Grrr sussy baddie baka,-0.7
Grrr sussy baddie baka,-0.7
Grrr sussy baddie baka,-0.7
"When will my wish come true, I will reach you, I am far from Kuwait, but nothing is impossible 🤙🏽",-0.07222222222222223
"When will my wish come true, I will reach you, I am far from Kuwait, but nothing is impossible 🤙🏽",-0.07222222222222223
"When will my wish come true, I will reach you, I am far from Kuwait, but nothing is impossible 🤙🏽",-0.07222222222222223
"Nothing in impossible you only have to put one foot in front of the other, your path is ahead of you, so don't put rocks or borders in your way, they soon will fall,? Its your choice to walk around them or stop walking.  Quote from PAZ",-0.2638888888888889
"Nothing in impossible you only have to put one foot in front of the other, your path is ahead of you, so don't put rocks or borders in your way, they soon will fall,? Its your choice to walk around them or stop walking.  Quote from PAZ",-0.2638888888888889
"Nothing in impossible you only have to put one foot in front of the other, your path is ahead of you, so don't put rocks or borders in your way, they soon will fall,? Its your choice to walk around them or stop walking.  Quote from PAZ",-0.2638888888888889
Plz become a Muslim :(,-0.75
Plz become a Muslim :(,-0.75
Plz become a Muslim :(,-0.75
The future past and present was always a spiritual one. Your in the wrong for the sins you have committed against me. If one hair on any one of my family is hurt or harmed I promise you I will avenge my family. By any means necessary,-0.125
The future past and present was always a spiritual one. Your in the wrong for the sins you have committed against me. If one hair on any one of my family is hurt or harmed I promise you I will avenge my family. By any means necessary,-0.125
The future past and present was always a spiritual one. Your in the wrong for the sins you have committed against me. If one hair on any one of my family is hurt or harmed I promise you I will avenge my family. By any means necessary,-0.125
I forgot but she has two sisters and one baby brother and I'm not sure if her name is alexia or asia,-0.25
Ill fuck her @vindiesel,-0.45
I forgot but she has two sisters and one baby brother and I'm not sure if her name is alexia or asia,-0.25
Ill fuck her @vindiesel,-0.45
I forgot but she has two sisters and one baby brother and I'm not sure if her name is alexia or asia,-0.25
Ill fuck her @vindiesel,-0.45
"I first noticed you and your acting in Pitch Black; as a young fan girl at the time. ☺️ I have grown into a wiser woman who sees and understands the hard work dedication, time and effort it takes in bringing your talents to the world 🌎 🌍 🌏 you are extremely inspirational, hard working, motivated and dedicated!!! Keep evolving and bringing it back to the worlds stage! Let’s get it!! 📽🎥😎🙌✌🏻💪🏻🔥❤️",-0.022249348958333352
"I first noticed you and your acting in Pitch Black; as a young fan girl at the time. ☺️ I have grown into a wiser woman who sees and understands the hard work dedication, time and effort it takes in bringing your talents to the world 🌎 🌍 🌏 you are extremely inspirational, hard working, motivated and dedicated!!! Keep evolving and bringing it back to the worlds stage! Let’s get it!! 📽🎥😎🙌✌🏻💪🏻🔥❤️",-0.022249348958333352
"I first noticed you and your acting in Pitch Black; as a young fan girl at the time. ☺️ I have grown into a wiser woman who sees and understands the hard work dedication, time and effort it takes in bringing your talents to the world 🌎 🌍 🌏 you are extremely inspirational, hard working, motivated and dedicated!!! Keep evolving and bringing it back to the worlds stage! Let’s get it!! 📽🎥😎🙌✌🏻💪🏻🔥❤️",-0.022249348958333352
Iki tah mad bojoe? @lidyaav93,-0.625
Iki tah mad bojoe? @lidyaav93,-0.625
I female Angel not happy got to move,-0.2
Iki tah mad bojoe? @lidyaav93,-0.625
Iki tah mad bojoe? @lidyaav93,-0.625
I female Angel not happy got to move,-0.2
Iki tah mad bojoe? @lidyaav93,-0.625
Iki tah mad bojoe? @lidyaav93,-0.625
I female Angel not happy got to move,-0.2
That’s crazy I just finally realized this dam!!! all this time behind the giant was my nigga this is crazy,-0.32
That’s crazy I just finally realized this dam!!! all this time behind the giant was my nigga this is crazy,-0.32
That’s crazy I just finally realized this dam!!! all this time behind the giant was my nigga this is crazy,-0.32
You never know I could or you could be next who gives a fuck I don't and I don't think you do either.,-0.2
You never know I could or you could be next who gives a fuck I don't and I don't think you do either.,-0.2
You never know I could or you could be next who gives a fuck I don't and I don't think you do either.,-0.2
"Allah says in Quran {{ ( say, O Muhammad) “ I have only been commanded to worship the lord of this city, who made it sacred and to whom ( belongs) all things. And I am commanded to be of the Muslims(I.e., those who submit to Allah). And to recite the Quran.” And whoever is guided is only guided for ( the benefit of) himself; and whoever strays- say,” I am only ( one) of the warners.” And say,”( All) praise is ( due ) to Allah. He will show you His signs, and you will recognize them. And your lord is not unaware of what you do.”}}♥️🌷",-0.025
"We miss him. Life's short. God guide us all from evil, deliver us from evil amen.",-0.6666666666666666
"Allah says in Quran {{ ( say, O Muhammad) “ I have only been commanded to worship the lord of this city, who made it sacred and to whom ( belongs) all things. And I am commanded to be of the Muslims(I.e., those who submit to Allah). And to recite the Quran.” And whoever is guided is only guided for ( the benefit of) himself; and whoever strays- say,” I am only ( one) of the warners.” And say,”( All) praise is ( due ) to Allah. He will show you His signs, and you will recognize them. And your lord is not unaware of what you do.”}}♥️🌷",-0.025
"We miss him. Life's short. God guide us all from evil, deliver us from evil amen.",-0.6666666666666666
"Allah says in Quran {{ ( say, O Muhammad) “ I have only been commanded to worship the lord of this city, who made it sacred and to whom ( belongs) all things. And I am commanded to be of the Muslims(I.e., those who submit to Allah). And to recite the Quran.” And whoever is guided is only guided for ( the benefit of) himself; and whoever strays- say,” I am only ( one) of the warners.” And say,”( All) praise is ( due ) to Allah. He will show you His signs, and you will recognize them. And your lord is not unaware of what you do.”}}♥️🌷",-0.025
"We miss him. Life's short. God guide us all from evil, deliver us from evil amen.",-0.6666666666666666
The other thing I,-0.125
"He is always in ""BAD ASS MODE"" love me some Vin.",-0.09999999999999992
The other thing I,-0.125
"He is always in ""BAD ASS MODE"" love me some Vin.",-0.09999999999999992
The other thing I,-0.125
"He is always in ""BAD ASS MODE"" love me some Vin.",-0.09999999999999992
I was a man who hate this too much to drink and lift and all,-0.30000000000000004
I was a man who hate this too much to drink and lift and all,-0.30000000000000004
I was a man who hate this too much to drink and lift and all,-0.30000000000000004
Crazy,-0.6
Crazy vin love,-0.04999999999999999
Crazy,-0.6
Crazy vin love,-0.04999999999999999
Crazy,-0.6
Crazy vin love,-0.04999999999999999
Wow what a body mother hours in the gym everyday day and night,-0.05
Wow what a body mother hours in the gym everyday day and night,-0.05
Wow what a body mother hours in the gym everyday day and night,-0.05
@vindiesel I feel like Riddick everyday bro,-0.2
@vindiesel I feel like Riddick everyday bro,-0.2
@vindiesel I feel like Riddick everyday bro,-0.2
What a fuck? XXX? 😂😂😂,-0.4
What a fuck? XXX? 😂😂😂,-0.4
What a fuck? XXX? 😂😂😂,-0.4
Penguin thinks he's groot. Maybe you could be a man andput a stop to he hard drugs he's pouring into our community and help the family that are suffering there guy,-0.2916666666666667
Penguin thinks he's groot. Maybe you could be a man andput a stop to he hard drugs he's pouring into our community and help the family that are suffering there guy,-0.2916666666666667
Penguin thinks he's groot. Maybe you could be a man andput a stop to he hard drugs he's pouring into our community and help the family that are suffering there guy,-0.2916666666666667
You know how to be so rude to people who really care about you.Thanks for hurting me again.CARMA,-0.04999999999999999
@vindiesel People who sell homes us - said that if they sell to go please do not place we go not sleep nights are down two twin girls suffer terrible please the heart help them not to be given out please every moment it is the worst nightmare I beg you please answer 😢😢 @vindiesel,-0.7185185185185187
You know how to be so rude to people who really care about you.Thanks for hurting me again.CARMA,-0.04999999999999999
@vindiesel People who sell homes us - said that if they sell to go please do not place we go not sleep nights are down two twin girls suffer terrible please the heart help them not to be given out please every moment it is the worst nightmare I beg you please answer 😢😢 @vindiesel,-0.7185185185185187
You know how to be so rude to people who really care about you.Thanks for hurting me again.CARMA,-0.04999999999999999
@vindiesel People who sell homes us - said that if they sell to go please do not place we go not sleep nights are down two twin girls suffer terrible please the heart help them not to be given out please every moment it is the worst nightmare I beg you please answer 😢😢 @vindiesel,-0.7185185185185187
"Late tonight, 20th of NOV. The FBI doesn’t Telegraph their punch for security reason. I’ve been giving the FBI quotes all week. The loss of a friend. 11/21, the arrest has already happened. Justin and Kaia Gerber. 11/21 Today. Brad Pitt will be arrested. Bikeriders/ Disney’s issue is Bieber. Last night, 11/20, 7pm",-0.0875
"Late tonight, 20th of NOV. The FBI doesn’t Telegraph their punch for security reason. I’ve been giving the FBI quotes all week. The loss of a friend. 11/21, the arrest has already happened. Justin and Kaia Gerber. 11/21 Today. Brad Pitt will be arrested. Bikeriders/ Disney’s issue is Bieber. Last night, 11/20, 7pm",-0.0875
"Late tonight, 20th of NOV. The FBI doesn’t Telegraph their punch for security reason. I’ve been giving the FBI quotes all week. The loss of a friend. 11/21, the arrest has already happened. Justin and Kaia Gerber. 11/21 Today. Brad Pitt will be arrested. Bikeriders/ Disney’s issue is Bieber. Last night, 11/20, 7pm",-0.0875
"At the time the you put that video you mención at me but l not sé my,name threare no more.",-0.25
"At the time the you put that video you mención at me but l not sé my,name threare no more.",-0.25
"At the time the you put that video you mención at me but l not sé my,name threare no more.",-0.25
what's the name o the black's men swag ????,-0.16666666666666666
what's the name o the black's men swag ????,-0.16666666666666666
what's the name o the black's men swag ????,-0.16666666666666666
You look sad Vin. 😢,-0.5
You look sad Vin. 😢,-0.5
You look sad Vin. 😢,-0.5
"Hello, good day Emine Çağdaş, I am a mother of 3 children and I am blind, we are in a very difficult situation and I was making money by selling napkins.  I can't because of the virus.  Can you help us with this? @vindiesel",-0.15000000000000002
"Hello, good day Emine Çağdaş, I am a mother of 3 children and I am blind, we are in a very difficult situation and I was making money by selling napkins.  I can't because of the virus.  Can you help us with this? @vindiesel",-0.15000000000000002
"Hello, good day Emine Çağdaş, I am a mother of 3 children and I am blind, we are in a very difficult situation and I was making money by selling napkins.  I can't because of the virus.  Can you help us with this? @vindiesel",-0.15000000000000002
Whats a fuck you is a fucking genius,-0.5
Whats a fuck you is a fucking genius,-0.5
Whats a fuck you is a fucking genius,-0.5
Very serious look,-0.43333333333333335
Very serious look,-0.43333333333333335
Very serious look,-0.43333333333333335
Elu ada kembaran yakan fuck,-0.4
Elu ada kembaran yakan fuck,-0.4
Elu ada kembaran yakan fuck,-0.4
Hello vin how are you long time no hear from you,-0.05
After fast 9 I was very disappointed.. saw this recently and went in with little to no explanations. & still I was disappointed.. like characters died in previous movies and then they come back. The family died in this movie but yet I’m sure they’ll be back to life cause somehow no one in this movie dies from a car explosion or a plane explosion. At this point I’m waiting for Batman & Superman to come flying in 🤔,-0.15324074074074076
Hello vin how are you long time no hear from you,-0.05
After fast 9 I was very disappointed.. saw this recently and went in with little to no explanations. & still I was disappointed.. like characters died in previous movies and then they come back. The family died in this movie but yet I’m sure they’ll be back to life cause somehow no one in this movie dies from a car explosion or a plane explosion. At this point I’m waiting for Batman & Superman to come flying in 🤔,-0.15324074074074076
Hello vin how are you long time no hear from you,-0.05
After fast 9 I was very disappointed.. saw this recently and went in with little to no explanations. & still I was disappointed.. like characters died in previous movies and then they come back. The family died in this movie but yet I’m sure they’ll be back to life cause somehow no one in this movie dies from a car explosion or a plane explosion. At this point I’m waiting for Batman & Superman to come flying in 🤔,-0.15324074074074076
what a pity that nothing lasts☹,-0.1
what a pity that nothing lasts☹,-0.1
what a pity that nothing lasts☹,-0.1
He is just crazy!,-0.75
"Hahaha I hate this guy's style, he's cool and fake mannered 😁😁😁😛😝😒😑",-0.18750000000000003
He is just crazy!,-0.75
"Hahaha I hate this guy's style, he's cool and fake mannered 😁😁😁😛😝😒😑",-0.18750000000000003
He is just crazy!,-0.75
